HCPC/MOD,ACTION CD,SHORT DESCRIPTION,LONG DESCRIPTION,
   TH,No Change,Ob tx/srvcs prenatl/postpart,"Obstetrical treatment/services, prenatal or postpartum",
   TJ,No Change,Child/adolescent program gp,"Program group, child and/or adolescent",
   TK,No Change,Extra patient or passenger,"Extra patient or passenger, non-ambulance",
   TL,No Change,Early intervention ifsp,Early intervention/individualized family service plan (ifsp),
   TM,No Change,Individualized ed prgrm(iep),Individualized education program (iep),
   TN,No Change,Rural/out of service area,Rural/outside providers' customary service area,
   TP,No Change,Med transprt unloaded vehicl,"Medical transport, unloaded vehicle",
   TQ,No Change,Bls by volunteer amb providr,Basic life support transport by a volunteer ambulance provider,
   TR,No Change,School-based iep out of dist,School-based individualized education program (iep) services provided outside the public school district responsible for the student,
   TS,No Change,Follow-up service,Follow-up service,
   TT,No Change,Additional patient,Individualized service provided to more than one patient in same setting,
   TU,No Change,Overtime payment rate,"Special payment rate, overtime",
   TV,No Change,Holiday/weekend payment rate,"Special payment rates, holidays/weekends",
   TW,No Change,Back-up equipment,Back-up equipment,
   U1,No Change,M/caid care lev 1 state def,"Medicaid level of care 1, as defined by each state",
   U2,No Change,M/caid care lev 2 state def,"Medicaid level of care 2, as defined by each state",
   U3,No Change,M/caid care lev 3 state def,"Medicaid level of care 3, as defined by each state",
   U4,No Change,M/caid care lev 4 state def,"Medicaid level of care 4, as defined by each state",
   U5,No Change,M/caid care lev 5 state def,"Medicaid level of care 5, as defined by each state",
   U6,No Change,M/caid care lev 6 state def,"Medicaid level of care 6, as defined by each state",
   U7,No Change,M/caid care lev 7 state def,"Medicaid level of care 7, as defined by each state",
   U8,No Change,M/caid care lev 8 state def,"Medicaid level of care 8, as defined by each state",
   U9,No Change,M/caid care lev 9 state def,"Medicaid level of care 9, as defined by each state",
   UA,No Change,M/caid care lev 10 state def,"Medicaid level of care 10, as defined by each state",
   UB,No Change,M/caid care lev 11 state def,"Medicaid level of care 11, as defined by each state",
   UC,No Change,M/caid care lev 12 state def,"Medicaid level of care 12, as defined by each state",
   UD,No Change,M/caid care lev 13 state def,"Medicaid level of care 13, as defined by each state",
   UE,No Change,Used durable med equipment,Used durable medical equipment,
   UF,No Change,"Services provided, morning",Services provided in the morning,
   UG,No Change,"Services provided, afternoon",Services provided in the afternoon,
   UH,No Change,"Services provided, evening",Services provided in the evening,
   UJ,No Change,"Services provided, night",Services provided at night,
   UK,No Change,Svc on behalf client-collat,Services provided on behalf of the client to someone other than the client (collateral relationship),
   UN,No Change,Two patients served,Two patients served,
   UP,No Change,Three patients served,Three patients served,
   UQ,No Change,Four patients served,Four patients served,
   UR,No Change,Five patients served,Five patients served,
   US,No Change,Six or more patients served,Six or more patients served,
   V1,No Change,Demonstration modifier 1,Demonstration modifier 1,
   V2,No Change,Demonstration modifier 2,Demonstration modifier 2,
   V3,No Change,Demonstration modifier 3,Demonstration modifier 3,
   V5,No Change,Vascular catheter,Vascular catheter (alone or with any other vascular access),
   V6,No Change,Arteriovenous graft,Arteriovenous graft (or other vascular access not including a vascular catheter),
   V7,No Change,Arteriovenous fistula,Arteriovenous fistula only (in use with two needles),
   V8,No Change,Infection present,Infection present,
   V9,No Change,No infection present,No infection present,
   VM,No Change,Mdpp virtual make-up session,Medicare diabetes prevention program (mdpp) virtual make-up session,
   VP,No Change,Aphakic patient,Aphakic patient,
   X1,No Change,Continuous/broad services,"Continuous/broad services: for reporting services by clinicians, who provide the principal care for a patient, with no planned endpoint of the relationship; services in this category represent comprehensive care, dealing with the entire scope of patient problems, either directly or in a care coordination role; reporting clinician service examples include, but are not limited to: primary care, and clinicians providing comprehensive care to patients in addition to specialty care",
   X2,No Change,Continuous/focused services,Continuous/focused services: for reporting services by clinicians whose expertise is needed for the ongoing management of a chronic disease or a condition that needs to be managed and followed with no planned endpoint to the relationship; reporting clinician service examples include but are not limited to: a rheumatologist taking care of the patient's rheumatoid arthritis longitudinally but not providing general primary care services,
   X3,No Change,Episodic/broad services,Episodic/broad servies: for reporting services by clinicians who have broad responsibility for the comprehensive needs of the patient that is limited to a defined period and circumstance such as a hospitalization; reporting clinician service examples include but are not limited to the hospitalist's services rendered providing comprehensive and general care to a patient while admitted to the hospital,
   X4,No Change,Episodic/focused services,"Episodic/focused services: for reporting services by clinicians who provide focused care on particular types of treatment limited to a defined period and circumstance; the patient has a problem, acute or chronic, that will be treated with surgery, radiation, or some other type of generally time-limited intervention; reporting clinician service examples include but are not limited to, the orthopedic surgeon performing a knee replacement and seeing the patient through the postoperative period",
   X5,No Change,Svc req by another clinician,"Diagnostic services requested by another clinician: for reporting services by a clinician who furnishes care to the patient only as requested by another clinician or subsequent and related services requested by another clinician; this modifier is reported for patient relationships that may not be adequately captured by the above alternative categories; reporting clinician service examples include but are not limited to, the radiologist's interpretation of an imaging study requested by another clinician",
   XE,No Change,Separate encounter,"Separate encounter, a service that is distinct because it occurred during a separate encounter",
   XP,No Change,Separate practitioner,"Separate practitioner, a service that is distinct because it was performed by a different practitioner",
   XS,No Change,Separate organ/structure,"Separate structure, a service that is distinct because it was performed on a separate organ/structure",
   XU,No Change,Unusual separate service,"Unusual non-overlapping service, the use of a service that is distinct because it does not overlap usual components of the main service",
   ZA,No Change,Novartis/sandoz,Novartis/sandoz,
   ZB,No Change,Pfizer/hospira,Pfizer/hospira,
   ZC,No Change,Merck/samsung bioepis,Merck/samsung bioepis,
A0021,No Change,Outside state ambulance serv,"Ambulance service, outside state per mile, transport (medicaid only)",
A0080,No Change,Noninterest escort in non er,"Non-emergency transportation, per mile - vehicle provided by volunteer (individual or organization), with no vested interest",
A0090,No Change,Interest escort in non er,"Non-emergency transportation, per mile - vehicle provided by individual (family member, self, neighbor) with vested interest",
A0100,No Change,Nonemergency transport taxi,Non-emergency transportation; taxi,
A0110,No Change,Nonemergency transport bus,"Non-emergency transportation and bus, intra or inter state carrier",
A0120,No Change,Noner transport mini-bus,"Non-emergency transportation: mini-bus, mountain area transports, or other transportation systems",
A0130,No Change,Noner transport wheelch van,Non-emergency transportation: wheelchair van,
A0140,No Change,Nonemergency transport air,Non-emergency transportation and air travel (private or commercial) intra or inter state,
A0160,No Change,Noner transport case worker,Non-emergency transportation: per mile - case worker or social worker,
